# weight minuslogpost logA ns wdm H0 ombh2 omch2 tau As omegam omegamh2 omega_de YHe Y_p DHBBN zrei sigma8 s8h5 s8omegamp5 s8omegamp25 A clamp age rdrag hrd S8 chi2__BAO chi2__SN minuslogprior minuslogprior__0 chi2 chi2__bao.desi_dr2 chi2__sn.desdovekie
21 8.37348470e+02 3.14523920e+00 8.81416430e-01 -1.01491040e-01 6.40938230e+01 4.56068930e-02 1.05049690e-01 2.06324560e-01 2.32252310e-09 3.68307640e-01 1.51301450e-01 6.31604410e-01 2.50710830e-01 2.52060000e-01 9.40400000e-01 10 5.92701080e-02 7.40333890e-02 3.59700540e-02 4.61730330e-02 2.32252310e+00 1.53726520e+00 1.48287240e+01 1.58910110e+02 1.01851565e+02 6.56720320e-02 4.24322430e+01 1.63096840e+03 6.48161230e-01 6.48161230e-01 1.67340060e+03 4.24322430e+01 1.63096840e+03
12 8.37443900e+02 2.78166410e+00 1.06396330e+00 -1.01566550e-01 6.41310530e+01 4.56767810e-02 1.05117780e-01 2.05216590e-01 1.61458670e-09 3.68215640e-01 1.51439430e-01 6.31696520e-01 2.50710830e-01 2.52060000e-01 9.40400000e-01 10 4.74339390e-02 5.92318110e-02 2.87832820e-02 3.69500260e-02 1.61458670e+00 1.07105680e+00 1.48215660e+01 1.58836050e+02 1.01863231e+02 5.25508420e-02 4.26191460e+01 1.63097230e+03 6.48161230e-01 6.48161230e-01 1.67359150e+03 4.26191460e+01 1.63097230e+03
13 8.31806450e+02 1.67493830e+00 1.10436060e+00 -1.21577120e-01 7.10376650e+01 6.75129270e-02 1.23920100e-01 2.67110550e-01 5.33846590e-10 3.80627380e-01 1.92077890e-01 6.19301030e-01 2.50710830e-01 2.52060000e-01 9.40400000e-01 10 2.83105940e-02 3.35895850e-02 1.74662230e-02 2.22368870e-02 5.33846590e-01 3.12901180e-01 1.33265670e+01 1.39153240e+02 9.88512125e+01 3.18888140e-02 3.14664440e+01 1.63085010e+03 6.48161230e-01 6.48161230e-01 1.66231660e+03 3.14664440e+01 1.63085010e+03
3 8.25025490e+02 1.66622280e+00 1.10300340e+00 -1.16073040e-01 6.48028410e+01 5.00513430e-02 1.07584150e-01 3.01372580e-01 5.29214060e-10 3.76911110e-01 1.58280360e-01 6.23002860e-01 2.50710830e-01 2.52060000e-01 9.40400000e-01 10 2.53831770e-02 3.15318140e-02 1.55835160e-02 1.98886690e-02 5.29214060e-01 2.89642630e-01 1.46711900e+01 1.55232510e+02 1.00595077e+02 2.84514770e-02 1.79077400e+01 1.63084690e+03 6.48161230e-01 6.48161230e-01 1.64875470e+03 1.79077400e+01 1.63084690e+03
29 8.24346860e+02 3.18751140e+00 1.04340260e+00 -1.15539900e-01 6.01330070e+01 4.24711700e-02 1.00707660e-01 8.81098150e-02 2.42280580e-09 3.97744870e-01 1.43823690e-01 6.02155220e-01 2.50710830e-01 2.52060000e-01 9.40400000e-01 10 5.16127090e-02 6.65579890e-02 3.25505960e-02 4.09881010e-02 2.42280580e+00 2.03136230e+00 1.56024340e+01 1.64065390e+02 9.86574525e+01 5.94289860e-02 1.56261640e+01 1.63177120e+03 6.48161230e-01 6.48161230e-01 1.64739740e+03 1.56261640e+01 1.63177120e+03
4 8.24780020e+02 3.67452660e+00 1.11309970e+00 -1.11079200e-01 5.85060250e+01 3.71641770e-02 9.65506450e-02 1.16211970e-01 3.94299870e-09 3.92525430e-01 1.34359690e-01 6.07369020e-01 2.50081090e-01 2.51428010e-01 1.07822380e+00 10 6.27043340e-02 8.19779890e-02 3.92854250e-02 4.96323120e-02 3.94299870e+00 3.12526030e+00 1.60912510e+01 1.70729170e+02 9.98868509e+01 7.17250450e-02 1.69219660e+01 1.63134170e+03 6.48161230e-01 6.48161230e-01 1.64826370e+03 1.69219660e+01 1.63134170e+03
5 8.24080780e+02 3.19394250e+00 1.12581810e+00 -1.23044420e-01 5.83411870e+01 3.85129540e-02 9.72301780e-02 4.42507340e-01 2.43843730e-09 4.00705810e-01 1.36388000e-01 5.99188050e-01 2.50402650e-01 2.51750720e-01 1.00820400e+00 10 4.64242160e-02 6.07794750e-02 2.93871450e-02 3.69360960e-02 2.43843730e+00 1.00636290e+00 1.61490380e+01 1.69845690e+02 9.90899916e+01 5.36533410e-02 1.53164270e+01 1.63154880e+03 6.48161230e-01 6.48161230e-01 1.64686520e+03 1.53164270e+01 1.63154880e+03
16 8.23605520e+02 3.24607910e+00 1.19977560e+00 -1.14017690e-01 6.31575630e+01 4.87515460e-02 1.12101110e-01 6.89932190e-01 2.56894180e-09 4.04869570e-01 1.61497520e-01 5.95039860e-01 2.50710830e-01 2.52060000e-01 9.40400000e-01 10 5.45486090e-02 6.86390080e-02 3.47089320e-02 4.35123430e-02 2.56894180e+00 6.46378320e-01 1.47540520e+01 1.56325980e+02 9.87316793e+01 6.33695500e-02 1.30098390e+01 1.63290490e+03 6.48161230e-01 6.48161230e-01 1.64591470e+03 1.30098390e+01 1.63290490e+03
5 8.23574630e+02 3.28130910e+00 1.17163770e+00 -1.14450270e-01 6.34968150e+01 4.95792810e-02 1.13096950e-01 6.96221550e-01 2.66105870e-09 4.05077770e-01 1.63321100e-01 5.94832630e-01 2.50710830e-01 2.52060000e-01 9.40400000e-01 10 5.59740410e-02 7.02442360e-02 3.56250820e-02 4.46551210e-02 2.66105870e+00 6.61186680e-01 1.46737730e+01 1.55441570e+02 9.87004461e+01 6.50422030e-02 1.29264290e+01 1.63292650e+03 6.48161230e-01 6.48161230e-01 1.64585290e+03 1.29264290e+01 1.63292650e+03
19 8.24485110e+02 2.83487330e+00 1.14235850e+00 -1.09269140e-01 6.69304720e+01 5.66759380e-02 1.23124040e-01 5.67173590e-01 1.70282430e-09 4.02806710e-01 1.80444840e-01 5.97112640e-01 2.50710830e-01 2.52060000e-01 9.40400000e-01 10 4.87673510e-02 5.96097390e-02 3.09512020e-02 3.88511020e-02 1.70282430e+00 5.47682810e-01 1.38833310e+01 1.47641450e+02 9.88171194e+01 5.65089040e-02 1.45476980e+01 1.63312620e+03 6.48161230e-01 6.48161230e-01 1.64767390e+03 1.45476980e+01 1.63312620e+03
35 8.22922640e+02 2.83301640e+00 1.14278490e+00 -1.14612130e-01 6.92454960e+01 6.18115580e-02 1.26504920e-01 6.20870080e-01 1.69966520e-09 3.94085010e-01 1.88961350e-01 6.05839650e-01 2.50710830e-01 2.52060000e-01 9.40400000e-01 10 4.88733480e-02 5.87322080e-02 3.06808260e-02 3.87230510e-02 1.69966520e+00 4.91001130e-01 1.35255360e+01 1.43371890e+02 9.92785764e+01 5.60152680e-02 1.28254920e+01 1.63172350e+03 6.48161230e-01 6.48161230e-01 1.64454900e+03 1.28254920e+01 1.63172350e+03
7 8.23243090e+02 3.72665600e+00 9.20592880e-01 -1.14511070e-01 6.94047520e+01 6.20578790e-02 1.27373650e-01 6.16765850e-01 4.15399670e-09 3.94593370e-01 1.90076400e-01 6.05331640e-01 2.50710830e-01 2.52060000e-01 9.40400000e-01 10 7.96463520e-02 9.56029480e-02 5.00311830e-02 6.31252820e-02 4.15399670e+00 1.20990180e+00 1.34898170e+01 1.43130830e+02 9.93395976e+01 9.13440260e-02 1.34128820e+01 1.63177700e+03 6.48161230e-01 6.48161230e-01 1.64518980e+03 1.34128820e+01 1.63177700e+03
8 8.22718880e+02 3.72708650e+00 9.20648950e-01 -1.15172760e-01 6.90877750e+01 6.19562500e-02 1.26277070e-01 6.13470240e-01 4.15578540e-09 3.95712160e-01 1.88878190e-01 6.04212150e-01 2.50710830e-01 2.52060000e-01 9.40400000e-01 10 7.96364210e-02 9.58100640e-02 5.00958130e-02 6.31621030e-02 4.15578540e+00 1.21842730e+00 1.35429390e+01 1.43293580e+02 9.89983461e+01 9.14620230e-02 1.22597550e+01 1.63188170e+03 6.48161230e-01 6.48161230e-01 1.64414140e+03 1.22597550e+01 1.63188170e+03
37 8.22573180e+02 2.41291360e+00 9.26368700e-01 -1.10354810e-01 6.74519620e+01 5.77371480e-02 1.18703360e-01 6.67221500e-01 1.11664490e-09 3.89218550e-01 1.77085380e-01 6.10702040e-01 2.50710830e-01 2.52060000e-01 9.40400000e-01 10 4.15829330e-02 5.06311540e-02 2.59425040e-02 3.28445640e-02 1.11664490e+00 2.94017940e-01 1.39022470e+01 1.46883210e+02 9.90756070e+01 4.73643150e-02 1.24015100e+01 1.63144850e+03 6.48161230e-01 6.48161230e-01 1.64385000e+03 1.24015100e+01 1.63144850e+03
2 8.22995630e+02 3.50368370e+00 1.10523880e+00 -1.14555170e-01 6.75319060e+01 5.85998290e-02 1.20575370e-01 6.90241930e-01 3.32376660e-09 3.94293970e-01 1.79820070e-01 6.05626810e-01 2.50710830e-01 2.52060000e-01 9.40400000e-01 10 6.78680910e-02 8.25868930e-02 4.26162960e-02 5.37799840e-02 3.32376660e+00 8.35783880e-01 1.38677280e+01 1.46363910e+02 9.88423381e+01 7.78063560e-02 1.29556320e+01 1.63173930e+03 6.48161230e-01 6.48161230e-01 1.64469490e+03 1.29556320e+01 1.63173930e+03
5 8.24276990e+02 2.70053240e+00 1.04011760e+00 -1.08437330e-01 6.52528950e+01 5.37380690e-02 1.14421070e-01 5.64895560e-01 1.48876560e-09 3.96445220e-01 1.68804000e-01 6.03469940e-01 2.50710830e-01 2.52060000e-01 9.40400000e-01 10 4.63258530e-02 5.73486950e-02 2.91685620e-02 3.67594690e-02 1.48876560e+00 4.81021260e-01 1.42910180e+01 1.50652170e+02 9.83049023e+01 5.32542650e-02 1.49727320e+01 1.63228490e+03 6.48161230e-01 6.48161230e-01 1.64725770e+03 1.49727320e+01 1.63228490e+03
6 8.25340350e+02 3.57342650e+00 9.20670780e-01 -1.00953610e-01 4.47907580e+01 1.23831180e-02 6.79659150e-02 7.31565390e-01 3.56385000e-09 4.03715550e-01 8.09939000e-02 5.96104370e-01 2.39368250e-01 2.40675990e-01 6.53520440e+00 10 4.88070360e-02 7.29269790e-02 3.10113140e-02 3.89046310e-02 3.56385000e+00 8.25068100e-01 2.10060270e+01 2.20154100e+02 9.86086902e+01 5.66186540e-02 1.73254080e+01 1.63205900e+03 6.48161230e-01 6.48161230e-01 1.64938440e+03 1.73254080e+01 1.63205900e+03
13 8.24424920e+02 3.73931470e+00 9.55566730e-01 -1.00792710e-01 4.48564970e+01 1.23498460e-02 6.83556430e-02 7.34459680e-01 4.20691480e-09 4.04304650e-01 8.13503550e-02 5.95515800e-01 2.39339080e-01 2.40646710e-01 6.56265680e+00 10 5.25403090e-02 7.84476510e-02 3.34077320e-02 4.18957350e-02 4.20691480e+00 9.68322770e-01 2.09666070e+01 2.20187650e+02 9.87684666e+01 6.09938950e-02 1.54191640e+01 1.63213440e+03 6.48161230e-01 6.48161230e-01 1.64755350e+03 1.54191640e+01 1.63213440e+03
9 8.24318900e+02 2.87103320e+00 9.14686780e-01 -9.98151320e-02 4.44776260e+01 1.12657030e-02 6.67306820e-02 7.31106770e-01 1.76552500e-09 3.97527550e-01 7.86412520e-02 6.02289830e-01 2.38295560e-01 2.39599290e-01 7.57182160e+00 10 3.43587190e-02 5.15188500e-02 2.16630980e-02 2.72821610e-02 1.76552500e+00 4.09112370e-01 2.12538610e+01 2.23510560e+02 9.94121909e+01 3.95512250e-02 1.59374200e+01 1.63140400e+03 6.48161230e-01 6.48161230e-01 1.64734150e+03 1.59374200e+01 1.63140400e+03
108 8.24230930e+02 3.87113480e+00 1.08322730e+00 -9.65041840e-02 4.50176390e+01 1.26506950e-02 6.96867810e-02 7.17593350e-01 4.79968230e-09 4.09468280e-01 8.29823430e-02 5.90353450e-01 2.39597770e-01 2.40906360e-01 6.32126990e+00 10 5.93890690e-02 8.85146510e-02 3.80028920e-02 4.75074350e-02 4.79968230e+00 1.14266480e+00 2.07407280e+01 2.18461430e+02 9.83461779e+01 6.93834710e-02 1.38334180e+01 1.63333210e+03 6.48161230e-01 6.48161230e-01 1.64716550e+03 1.38334180e+01 1.63333210e+03
20 8.25556950e+02 3.25197800e+00 8.42635150e-01 -9.78021990e-02 4.70778310e+01 1.65971100e-02 7.50721860e-02 7.03248040e-01 2.58414050e-09 4.16519600e-01 9.23141630e-02 5.83317400e-01 2.42453030e-01 2.43772210e-01 4.14400680e+00 10 4.90520040e-02 7.14905330e-02 3.16573440e-02 3.94062960e-02 2.58414050e+00 6.33115040e-01 1.96943990e+01 2.07648860e+02 9.77565794e+01 5.77981380e-02 1.48393240e+01 1.63497820e+03 6.48161230e-01 6.48161230e-01 1.64981760e+03 1.48393240e+01 1.63497820e+03
20 8.26948220e+02 2.22542590e+00 9.83314190e-01 -9.84777460e-02 4.72185210e+01 1.71721920e-02 7.56620950e-02 7.03239730e-01 9.25742480e-10 4.19266340e-01 9.34791530e-02 5.80571620e-01 2.42797680e-01 2.44118140e-01 3.93001050e+00 10 2.79462780e-02 4.06694010e-02 1.80954330e-02 2.24877740e-02 9.25742480e-01 2.26810900e-01 1.95994320e+01 2.06309950e+02 9.74165071e+01 3.30375890e-02 1.70171410e+01 1.63558300e+03 6.48161230e-01 6.48161230e-01 1.65260010e+03 1.70171410e+01 1.63558300e+03
58 8.23994680e+02 3.53947280e+00 1.18965200e+00 -9.84728770e-02 4.49312860e+01 1.22742830e-02 6.82477620e-02 7.09141270e-01 3.44487540e-09 4.02051170e-01 8.11669120e-02 5.97769880e-01 2.39272280e-01 2.40579650e-01 6.62571540e+00 10 4.65828260e-02 6.94946550e-02 2.95370080e-02 3.70933590e-02 3.44487540e+00 8.34105980e-01 2.09276770e+01 2.20051690e+02 9.88720542e+01 5.39269510e-02 1.46614660e+01 1.63203160e+03 6.48161230e-01 6.48161230e-01 1.64669300e+03 1.46614660e+01 1.63203160e+03
12 8.23956470e+02 3.53189520e+00 1.17879350e+00 -9.84266600e-02 4.48606440e+01 1.21134260e-02 6.80375300e-02 7.08712700e-01 3.41887000e-09 4.01474440e-01 8.07958230e-02 5.98346040e-01 2.39127200e-01 2.40434030e-01 6.76331580e+00 10 4.64085290e-02 6.92891200e-02 2.94053770e-02 3.69413090e-02 3.41887000e+00 8.28519160e-01 2.09717380e+01 2.20546030e+02 9.89383694e+01 5.36866280e-02 1.46630230e+01 1.63195360e+03 6.48161230e-01 6.48161230e-01 1.64661660e+03 1.46630230e+01 1.63195360e+03
13 8.24064510e+02 3.84672060e+00 1.19460350e+00 -9.85237780e-02 4.47921120e+01 1.20327540e-02 6.78542960e-02 7.08609140e-01 4.68392060e-09 4.01388530e-01 8.05319170e-02 5.98431400e-01 2.39052860e-01 2.40359410e-01 6.83407960e+00 10 5.39295540e-02 8.05797770e-02 3.41671940e-02 4.29257680e-02 4.68392060e+00 1.13532300e+00 2.10079710e+01 2.20823650e+02 9.89115766e+01 6.23804760e-02 1.49010040e+01 1.63193170e+03 6.48161230e-01 6.48161230e-01 1.64683270e+03 1.49010040e+01 1.63193170e+03
110 8.24205220e+02 3.73860230e+00 1.09345250e+00 -9.86218810e-02 4.48198630e+01 1.21400210e-02 6.79325260e-02 7.08944150e-01 4.20391910e-09 4.01815040e-01 8.07174140e-02 5.98005120e-01 2.39151470e-01 2.40458390e-01 6.74024630e+00 10 5.23014530e-02 7.81229240e-02 3.31533060e-02 4.16409180e-02 4.20391910e+00 1.01829420e+00 2.09877150e+01 2.20509890e+02 9.88322306e+01 6.05293790e-02 1.51300230e+01 1.63198410e+03 6.48161230e-01 6.48161230e-01 1.64711410e+03 1.51300230e+01 1.63198410e+03
42 8.24024620e+02 1.83601880e+00 1.19174840e+00 -9.67659710e-02 4.65801160e+01 1.50126780e-02 7.29125790e-02 7.15923100e-01 6.27152060e-10 4.08212320e-01 8.85701230e-02 5.91621170e-01 2.41414510e-01 2.42729860e-01 4.84241330e+00 10 2.17298600e-02 3.18387960e-02 1.38835320e-02 1.73691450e-02 6.27152060e-01 1.49806260e-01 2.00292750e+01 2.11684900e+02 9.86030720e+01 2.53477460e-02 1.34476820e+01 1.63330520e+03 6.48161230e-01 6.48161230e-01 1.64675290e+03 1.34476820e+01 1.63330520e+03
