# weight minuslogpost logA ns wdm H0 ombh2 omch2 tau As omegam omegamh2 omega_de YHe Y_p DHBBN zrei sigma8 s8h5 s8omegamp5 s8omegamp25 A clamp age rdrag hrd S8 chi2__BAO chi2__SN minuslogprior minuslogprior__0 chi2 chi2__bao.desi_dr2 chi2__sn.desdovekie
23 8.30224120e+02 2.01996600e+00 8.55323670e-01 2.18404720e-02 8.80057270e+01 1.82454300e-02 1.87448860e-01 6.23222750e-01 7.53806890e-10 2.66415680e-01 2.06339160e-01 7.33537670e-01 2.43386920e-01 2.44709550e-01 3.57543320e+00 10 1.35859290e+00 1.44821780e+00 7.01244130e-01 9.76066250e-01 7.53806890e-01 2.16738320e-01 1.08510890e+01 1.17307520e+02 1.03237336e+02 1.28029080e+00 1.37085130e+01 1.64544340e+03 6.48161230e-01 6.48161230e-01 1.65915190e+03 1.37085130e+01 1.64544340e+03
8 8.27876860e+02 1.61788500e+00 1.15804760e+00 2.14923060e-02 9.28885360e+01 2.17172650e-02 2.12688220e-01 3.78710470e-01 5.04241450e-10 2.72418550e-01 2.35050350e-01 7.27539580e-01 2.45094670e-01 2.46423560e-01 2.71154640e+00 10 1.41963300e+00 1.47297380e+00 7.40959410e-01 1.02561710e+00 5.04241450e-01 2.36425770e-01 1.02220860e+01 1.10436710e+02 1.02583043e+02 1.35280060e+00 1.20075210e+01 1.64244990e+03 6.48161230e-01 6.48161230e-01 1.65445740e+03 1.20075210e+01 1.64244990e+03
31 8.28188500e+02 2.32719420e+00 1.17021050e+00 2.30975070e-02 9.11936400e+01 1.82027350e-02 2.06766790e-01 3.11811730e-01 1.02491440e-09 2.71292440e-01 2.25614390e-01 7.28664120e-01 2.43363840e-01 2.44686380e-01 3.58866450e+00 10 2.14510020e+00 2.24628730e+00 1.11729130e+00 1.54812850e+00 1.02491440e+00 5.49352850e-01 1.04063280e+01 1.12592580e+02 1.02677272e+02 2.03988560e+00 1.24636850e+01 1.64261700e+03 6.48161230e-01 6.48161230e-01 1.65508070e+03 1.24636850e+01 1.64261700e+03
10 8.28980240e+02 2.78365600e+00 9.09108030e-01 2.32298850e-02 9.07242590e+01 1.72966260e-02 2.05438320e-01 3.09611980e-01 1.61780600e-09 2.71392020e-01 2.23379810e-01 7.28564090e-01 2.42868420e-01 2.44189140e-01 3.88622530e+00 10 2.28183530e+00 2.39564570e+00 1.18872890e+00 1.64696200e+00 1.61780600e+00 8.70965390e-01 1.04571090e+01 1.13401840e+02 1.02882979e+02 2.17031220e+00 1.41384660e+01 1.64252570e+03 6.48161230e-01 6.48161230e-01 1.65666420e+03 1.41384660e+01 1.64252570e+03
6 8.29903430e+02 2.87684700e+00 9.26945980e-01 2.78356280e-02 8.92970730e+01 1.21553460e-02 2.00931310e-01 3.03716000e-01 1.77581940e-09 2.68036630e-01 2.13731530e-01 7.31918070e-01 2.39165400e-01 2.40472380e-01 6.72701070e+00 10 2.83645190e+00 3.00162760e+00 1.46849510e+00 2.04091050e+00 1.77581940e+00 9.67374030e-01 1.06106710e+01 1.14236780e+02 1.02010101e+02 2.68109290e+00 1.53932660e+01 1.64311730e+03 6.48161230e-01 6.48161230e-01 1.65851050e+03 1.53932660e+01 1.64311730e+03
3 8.29077850e+02 2.58317730e+00 9.10850520e-01 2.03515760e-02 9.48388730e+01 2.59270520e-02 2.19180920e-01 1.67248740e-01 1.32391360e-09 2.73228360e-01 2.45752840e-01 7.26731470e-01 2.46776910e-01 2.48111920e-01 2.03098230e+00 10 1.88364220e+00 1.93421710e+00 9.84603350e-01 1.36185180e+00 1.32391360e+00 9.47521870e-01 1.00164740e+01 1.07581650e+02 1.02029224e+02 1.79763160e+00 1.45142520e+01 1.64234510e+03 6.48161230e-01 6.48161230e-01 1.65685940e+03 1.45142520e+01 1.64234510e+03
17 8.30840440e+02 3.37517290e+00 1.19195820e+00 2.50164360e-02 9.34207300e+01 1.85041470e-02 2.15538910e-01 1.12125370e-01 2.92293360e-09 2.68908310e-01 2.34687920e-01 7.31050300e-01 2.43526540e-01 2.44849680e-01 3.49685190e+00 10 4.03362940e+00 4.17324960e+00 2.09169370e+00 2.90467160e+00 2.92293360e+00 2.33575930e+00 1.01649280e+01 1.09159190e+02 1.01977312e+02 3.81889280e+00 1.69878090e+01 1.64339670e+03 6.48161230e-01 6.48161230e-01 1.66038460e+03 1.69878090e+01 1.64339670e+03
36 8.33053360e+02 3.87534270e+00 1.02612040e+00 2.39805930e-02 9.19977970e+01 1.64361220e-02 2.10320640e-01 1.11452100e-01 4.81992130e-09 2.68682090e-01 2.27401630e-01 7.31275230e-01 2.42351840e-01 2.43670650e-01 4.20747020e+00 10 4.44526720e+00 4.63456690e+00 2.30418440e+00 3.20042420e+00 4.81992130e+00 3.85686000e+00 1.03326550e+01 1.12513630e+02 1.03510061e+02 4.20684590e+00 2.11180870e+01 1.64369230e+03 6.48161230e-01 6.48161230e-01 1.66481040e+03 2.11180870e+01 1.64369230e+03
1 8.31228900e+02 3.87496750e+00 1.02605730e+00 2.45350150e-02 9.20203500e+01 1.60681690e-02 2.10558430e-01 1.10839790e-01 4.81811310e-09 2.68396680e-01 2.27271460e-01 7.31560650e-01 2.42115910e-01 2.43433850e-01 4.35836770e+00 10 4.53660760e+00 4.72921740e+00 2.35028100e+00 3.26531810e+00 4.81811310e+00 3.86013750e+00 1.03275560e+01 1.12258340e+02 1.03300517e+02 4.29100640e+00 1.74493260e+01 1.64371220e+03 6.48161230e-01 6.48161230e-01 1.66116150e+03 1.74493260e+01 1.64371220e+03
48 8.30468690e+02 3.66359090e+00 8.98766910e-01 2.63194930e-02 9.09448690e+01 1.33974880e-02 2.06915050e-01 9.78063270e-02 3.90011420e-09 2.67148140e-01 2.20957400e-01 7.32808180e-01 2.40205450e-01 2.41516300e-01 5.78385440e+00 10 3.98652030e+00 4.18027530e+00 2.06048790e+00 2.86603850e+00 3.90011420e+00 3.20718360e+00 1.04434960e+01 1.13442350e+02 1.03169997e+02 3.76191890e+00 1.57261040e+01 1.64391500e+03 6.48161230e-01 6.48161230e-01 1.65964110e+03 1.57261040e+01 1.64391500e+03
