# weight minuslogpost logA ns wdm H0 ombh2 omch2 tau A_planck calib_100T calib_217T A_cib_217 xi_sz_cib A_sz ksz_norm gal545_A_100 gal545_A_143 gal545_A_143_217 gal545_A_217 ps_A_100_100 ps_A_143_143 ps_A_143_217 ps_A_217_217 galf_TE_A_100 galf_TE_A_100_143 galf_TE_A_100_217 galf_TE_A_143 galf_TE_A_143_217 galf_TE_A_217 As omegam omegamh2 omega_de YHe Y_p DHBBN zrei sigma8 s8h5 s8omegamp5 s8omegamp25 A clamp age rdrag hrd S8 chi2__BAO chi2__CMB chi2__SN minuslogprior minuslogprior__0 minuslogprior__SZ chi2 chi2__planck_2018_lowl.TT chi2__planck_2018_lowl.EE chi2__planck_2018_highl_plik.TTTEEE chi2__planck_2018_lensing.clik chi2__bao.desi_dr2 chi2__sn.desdovekie
4 2.58902480e+03 3.04955290e+00 9.69655640e-01 4.33247760e-04 6.72170460e+01 2.23544530e-02 1.18261310e-01 5.45505010e-02 1.00121740e+00 1.00186620e+00 9.97773350e-01 6.21490370e+01 6.76237840e-01 2.10455530e+00 9.96850310e+00 9.38219430e+00 7.38838430e+00 9.41227010e+00 6.29625900e+01 3.27984700e+02 5.53548160e+01 5.55620740e+01 1.10604670e+02 3.07556110e-01 9.42512680e-02 4.28849000e-01 1.44402840e-01 6.18553640e-01 1.97975730e+00 2.11059050e-09 3.12652780e-01 1.41260630e-01 6.87267260e-01 2.45389240e-01 2.46719200e-01 2.58849560e+00 7.68221770e+00 8.18667370e-01 9.98545300e-01 4.57760830e-01 6.12171420e-01 2.11059050e+00 1.89243950e+00 1.38526780e+01 1.47263060e+02 9.89858788e+01 8.35753100e-01 3.78133250e+01 3.43324330e+03 1.63274890e+03 3.71220370e+01 3.42870810e+01 2.83495620e+00 5.10380550e+03 2.27023120e+01 3.96053270e+02 3.00464090e+03 9.84686920e+00 3.78133250e+01 1.63274890e+03
1 2.50683610e+03 3.04990040e+00 9.69816760e-01 4.34513510e-04 6.72555100e+01 2.23538630e-02 1.18192410e-01 5.48131970e-02 1.00176240e+00 1.00232470e+00 9.97700960e-01 5.14232670e+01 7.12378140e-01 5.33646100e+00 8.71765040e+00 6.44254520e+00 6.27177140e+00 1.16364730e+01 7.44072240e+01 3.21886010e+02 4.98192330e+01 5.76939210e+01 1.17081370e+02 4.14880320e-01 1.13567040e-01 4.59911570e-01 3.41660150e-03 5.53549250e-01 2.00812290e+00 2.11132420e-09 3.12141640e-01 1.41191140e-01 6.87778490e-01 2.45389000e-01 2.46718960e-01 2.58860660e+00 7.70800790e+00 8.18702310e-01 9.98302310e-01 4.57406010e-01 6.11947190e-01 2.11132420e+00 1.89210310e+00 1.38511150e+01 1.47281220e+02 9.90547356e+01 8.35105310e-01 3.64976270e+01 3.22399300e+03 1.63282920e+03 6.01762250e+01 5.48167100e+01 5.35951480e+00 4.89331980e+03 2.26051760e+01 3.96080540e+02 2.79569900e+03 9.60828910e+00 3.64976270e+01 1.63282920e+03
2 2.38062680e+03 3.05703440e+00 9.69116520e-01 4.57353800e-04 6.76258870e+01 2.23144230e-02 1.18581740e-01 5.82552860e-02 1.00253110e+00 1.00232000e+00 9.98145440e-01 5.55633720e+01 9.86314270e-01 9.03653830e+00 7.45408190e+00 8.04200250e+00 4.89534890e+00 1.34344050e+01 7.40108890e+01 2.63211320e+02 4.50881150e+01 6.96846530e+01 1.14527120e+02 4.31357060e-01 1.58213790e-01 5.78345930e-01 8.02606650e-02 6.63184310e-01 2.05961130e+00 2.12644020e-09 3.09496970e-01 1.41541030e-01 6.90424030e-01 2.45373120e-01 2.46703020e-01 2.59605840e+00 8.07297400e+00 8.25082990e-01 1.00332390e+00 4.59013900e-01 6.15406020e-01 2.12644020e+00 1.89257580e+00 1.38079920e+01 1.47204440e+02 9.95483083e+01 8.38040900e-01 2.62414110e+01 2.96832760e+03 1.63328270e+03 6.67008910e+01 5.61238270e+01 1.05770630e+01 4.62785170e+03 2.27978010e+01 3.96970700e+02 2.53886450e+03 9.69459180e+00 2.62414110e+01 1.63328270e+03
5 2.37864320e+03 3.05702980e+00 9.68733580e-01 4.57353800e-04 6.76258870e+01 2.23144230e-02 1.18581740e-01 5.82552860e-02 1.00249890e+00 1.00238980e+00 9.98236460e-01 5.56131590e+01 9.97149990e-01 9.18705600e+00 6.72332380e+00 9.00333350e+00 5.31115380e+00 1.41186400e+01 7.57520890e+01 2.50721260e+02 4.71616900e+01 7.17008110e+01 1.13559340e+02 4.40070750e-01 1.50312590e-01 6.07368470e-01 4.88406350e-02 6.32972960e-01 2.07542790e+00 2.12643030e-09 3.09496970e-01 1.41541030e-01 6.90424030e-01 2.45373120e-01 2.46703020e-01 2.59605840e+00 8.07297400e+00 8.24961050e-01 1.00317560e+00 4.58946060e-01 6.15315060e-01 2.12643030e+00 1.89256700e+00 1.38079920e+01 1.47204440e+02 9.95483083e+01 8.37917040e-01 2.62414110e+01 2.96081820e+03 1.63328270e+03 6.84719960e+01 5.85572950e+01 9.91470140e+00 4.62034240e+03 2.28780600e+01 3.96977960e+02 2.53128080e+03 9.68138250e+00 2.62414110e+01 1.63328270e+03
2 2.35305850e+03 3.05115680e+00 9.69123590e-01 4.78391270e-04 6.79351920e+01 2.22641820e-02 1.18314300e-01 5.55969190e-02 1.00265260e+00 1.00229730e+00 9.98323840e-01 5.61183750e+01 9.78511210e-01 8.89243430e+00 7.12427390e+00 8.24350190e+00 5.55514450e+00 1.41028440e+01 7.50249720e+01 2.49658250e+02 4.71024540e+01 7.05491230e+01 1.13611350e+02 4.29787170e-01 1.49306600e-01 6.30777160e-01 3.70492490e-02 6.26610430e-01 2.15923650e+00 2.11397850e-09 3.05996790e-01 1.41223340e-01 6.93924930e-01 2.45352580e-01 2.46682410e-01 2.60562900e+00 7.81487070e+00 8.23257250e-01 9.98822130e-01 4.55401020e-01 6.12300730e-01 2.11397850e+00 1.89151460e+00 1.37888290e+01 1.47316320e+02 1.00079625e+02 8.31444700e-01 1.89498560e+01 2.91930970e+03 1.63398470e+03 6.69364100e+01 5.71147530e+01 9.82165660e+00 4.57224420e+03 2.27272660e+01 3.96267750e+02 2.49122230e+03 9.09242600e+00 1.89498560e+01 1.63398470e+03
3 2.30879020e+03 3.05540180e+00 9.68956470e-01 4.85236830e-04 6.81462050e+01 2.22274870e-02 1.18428000e-01 5.78152820e-02 1.00254790e+00 1.00076020e+00 9.98790050e-01 6.90182040e+01 9.95968880e-01 7.51654510e+00 4.93737770e+00 1.03288980e+01 9.50810500e+00 1.26795150e+01 6.53370260e+01 2.53534450e+02 4.91284930e+01 6.57263280e+01 1.00681850e+02 4.48307560e-01 1.47839140e-01 5.69253480e-01 1.68704990e-02 6.98762450e-01 1.82446790e+00 2.12297150e-09 3.04270550e-01 1.41300360e-01 6.95651660e-01 2.45337470e-01 2.46667240e-01 2.61265040e+00 8.05028410e+00 8.26484310e-01 1.00118370e+00 4.55894730e-01 6.13832100e-01 2.12297150e+00 1.89115200e+00 1.37678730e+01 1.47321780e+02 1.00394202e+02 8.32346100e-01 1.53767080e+01 2.84946720e+03 1.63437430e+03 5.91811180e+01 5.40686200e+01 5.11249830e+00 4.49921820e+03 2.28629850e+01 3.96813840e+02 2.42059440e+03 9.19596270e+00 1.53767080e+01 1.63437430e+03
6 2.29972070e+03 3.05517160e+00 9.68918640e-01 4.85160640e-04 6.82119560e+01 2.22263460e-02 1.18441870e-01 5.76813340e-02 1.00268710e+00 1.00069360e+00 9.99090030e-01 6.75414250e+01 9.78117300e-01 6.88519410e+00 5.71560190e+00 1.01464030e+01 9.16967660e+00 1.20990970e+01 6.71070570e+01 2.52153260e+02 4.71306030e+01 6.38109420e+01 1.01311990e+02 4.08468920e-01 1.19432250e-01 5.44823120e-01 -5.02322780e-03 6.70194960e-01 1.77884730e+00 2.12248270e-09 3.03711590e-01 1.41313090e-01 6.96210760e-01 2.45337000e-01 2.46666770e-01 2.61286900e+00 8.03779380e+00 8.26628010e-01 1.00087500e+00 4.55554980e-01 6.13656670e-01 2.12248270e+00 1.89122330e+00 1.37616910e+01 1.47319400e+02 1.00489444e+02 8.31725800e-01 1.45203960e+01 2.84362060e+03 1.63450680e+03 5.33968300e+01 4.84736920e+01 4.92313730e+00 4.49264770e+03 2.28607750e+01 3.96788360e+02 2.41481140e+03 9.15999410e+00 1.45203960e+01 1.63450680e+03
17 2.30187740e+03 3.04141680e+00 9.73868790e-01 4.85160640e-04 6.82119560e+01 2.22263460e-02 1.18441870e-01 5.76813340e-02 9.97177460e-01 1.00067480e+00 9.99001710e-01 6.50734630e+01 9.77593400e-01 7.65088160e+00 4.35730300e+00 1.04780940e+01 8.89857360e+00 1.16269490e+01 6.64579330e+01 2.45226370e+02 4.59242170e+01 6.74035860e+01 1.04368080e+02 3.92938240e-01 1.19634500e-01 5.13582170e-01 -2.99004560e-03 7.05615150e-01 1.84863280e+00 2.09348830e-09 3.03711590e-01 1.41313090e-01 6.96210760e-01 2.45337000e-01 2.46666770e-01 2.61286900e+00 8.03779380e+00 8.22523640e-01 9.95905510e-01 4.53293060e-01 6.10609740e-01 2.09348830e+00 1.86538800e+00 1.37616910e+01 1.47319400e+02 1.00489444e+02 8.27596120e-01 1.45203960e+01 2.85329740e+03 1.63450680e+03 5.07150730e+01 4.58979810e+01 4.81709160e+00 4.50232460e+03 2.17773130e+01 3.96669900e+02 2.42542350e+03 9.42669330e+00 1.45203960e+01 1.63450680e+03
7 2.29412610e+03 3.04606080e+00 9.67748740e-01 4.85160640e-04 6.82119560e+01 2.22263460e-02 1.18441870e-01 5.76813340e-02 9.98438610e-01 1.00093660e+00 9.99047680e-01 6.71844630e+01 9.55399990e-01 6.74027500e+00 5.71915230e+00 1.02734640e+01 8.90160540e+00 1.21224580e+01 6.70080460e+01 2.58703040e+02 4.89044200e+01 6.26199300e+01 9.91604610e+01 3.85030870e-01 1.01543560e-01 5.47753410e-01 -2.75438770e-02 7.52516350e-01 2.02994110e+00 2.10323300e-09 3.03711590e-01 1.41313090e-01 6.96210760e-01 2.45337000e-01 2.46666770e-01 2.61286900e+00 8.03779380e+00 8.22502150e-01 9.95879490e-01 4.53281220e-01 6.10593790e-01 2.10323300e+00 1.87407090e+00 1.37616910e+01 1.47319400e+02 1.00489444e+02 8.27574500e-01 1.45203960e+01 2.83700630e+03 1.63450680e+03 5.11093320e+01 4.63667640e+01 4.74256770e+00 4.48603350e+03 2.30586080e+01 3.96808690e+02 2.40812440e+03 9.01455050e+00 1.45203960e+01 1.63450680e+03
14 2.28598950e+03 3.04560510e+00 9.70767800e-01 4.85160640e-04 6.82119560e+01 2.22263460e-02 1.18441870e-01 5.76813340e-02 9.98469600e-01 1.00061910e+00 9.99216650e-01 6.49635150e+01 9.22441200e-01 7.58077390e+00 3.18837660e+00 1.01584070e+01 9.59446460e+00 1.16047980e+01 6.88481220e+01 2.31465540e+02 4.71993180e+01 6.86895910e+01 1.07432770e+02 3.32996850e-01 9.87818440e-02 5.74963770e-01 -1.39013600e-02 8.11968410e-01 2.09410510e+00 2.10227480e-09 3.03711590e-01 1.41313090e-01 6.96210760e-01 2.45337000e-01 2.46666770e-01 2.61286900e+00 8.03779380e+00 8.23267040e-01 9.96805610e-01 4.53702750e-01 6.11161620e-01 2.10227480e+00 1.87321710e+00 1.37616910e+01 1.47319400e+02 1.00489444e+02 8.28344110e-01 1.45203960e+01 2.83542890e+03 1.63450680e+03 4.37614370e+01 3.98636290e+01 3.89780870e+00 4.48445610e+03 2.24205460e+01 3.96751190e+02 2.40710160e+03 9.15563020e+00 1.45203960e+01 1.63450680e+03
