# weight minuslogpost logA ns wdm H0 ombh2 omch2 tau A_planck calib_100T calib_217T A_cib_217 xi_sz_cib A_sz ksz_norm gal545_A_100 gal545_A_143 gal545_A_143_217 gal545_A_217 ps_A_100_100 ps_A_143_143 ps_A_143_217 ps_A_217_217 galf_TE_A_100 galf_TE_A_100_143 galf_TE_A_100_217 galf_TE_A_143 galf_TE_A_143_217 galf_TE_A_217 As omegam omegamh2 omega_de YHe Y_p DHBBN zrei sigma8 s8h5 s8omegamp5 s8omegamp25 A clamp age rdrag hrd S8 chi2__BAO chi2__CMB chi2__SN minuslogprior minuslogprior__0 minuslogprior__SZ chi2 chi2__planck_2018_lowl.TT chi2__planck_2018_lowl.EE chi2__planck_2018_highl_plik.TTTEEE chi2__planck_2018_lensing.clik chi2__bao.desi_dr2 chi2__sn.desdovekie
1 2.24612280e+03 3.04552910e+00 9.64005980e-01 6.45315910e-04 6.81158890e+01 2.21987310e-02 1.19426880e-01 5.67363040e-02 9.96944040e-01 1.00018470e+00 9.96740660e-01 4.84412840e+01 7.10282470e-01 8.69569910e+00 3.22429320e+00 9.60508910e+00 1.19785080e+01 1.96983950e+01 8.54887410e+01 2.12492370e+02 4.39809380e+01 5.05740860e+01 1.15107040e+02 1.27011570e-01 1.56769420e-01 5.82035890e-01 2.53761800e-01 6.85301790e-01 1.92477610e+00 2.10211500e-09 3.06632320e-01 1.42270480e-01 6.93289820e-01 2.45325610e-01 2.46655340e-01 2.61815860e+00 7.96915370e+00 8.29806550e-01 1.00543190e+00 4.59500320e-01 6.17492000e-01 2.10211500e+00 1.87661830e+00 1.37423540e+01 1.46968670e+02 1.00109016e+02 8.38928970e-01 1.75509230e+01 2.78639150e+03 1.63383380e+03 2.72346330e+01 2.19765230e+01 5.25810960e+00 4.43777630e+03 2.40748790e+01 3.96710100e+02 2.35609720e+03 9.50937300e+00 1.75509230e+01 1.63383380e+03
21 2.24195970e+03 3.04566510e+00 9.62233070e-01 6.45315910e-04 6.81158890e+01 2.21987310e-02 1.19426880e-01 5.67363040e-02 9.96866180e-01 1.00038940e+00 9.97507300e-01 4.76595900e+01 9.46294610e-01 6.68854140e+00 6.36028990e+00 9.77822820e+00 1.08801180e+01 2.03728640e+01 8.97375090e+01 2.47114260e+02 4.69076970e+01 4.77194670e+01 1.10703930e+02 1.29666910e-01 1.62925260e-01 5.19123750e-01 2.79236230e-01 6.98759160e-01 2.03723310e+00 2.10240090e-09 3.06632320e-01 1.42270480e-01 6.93289820e-01 2.45325610e-01 2.46655340e-01 2.61815860e+00 7.96915370e+00 8.29299410e-01 1.00481740e+00 4.59219500e-01 6.17114620e-01 2.10240090e+00 1.87687350e+00 1.37423540e+01 1.46968670e+02 1.00109016e+02 8.38416260e-01 1.75509230e+01 2.78242400e+03 1.63383380e+03 2.50553050e+01 1.98609110e+01 5.19439420e+00 4.43380880e+03 2.45377390e+01 3.96734990e+02 2.35171440e+03 9.43690350e+00 1.75509230e+01 1.63383380e+03
2 2.24119090e+03 3.05160940e+00 9.60271950e-01 6.45315910e-04 6.81158890e+01 2.21987310e-02 1.19426880e-01 5.67363040e-02 9.99406460e-01 1.00053430e+00 9.97547020e-01 4.94623230e+01 9.68976290e-01 5.65010500e+00 6.90387130e+00 1.04962370e+01 1.08336150e+01 1.93755220e+01 8.84485640e+01 2.55801150e+02 4.99029790e+01 4.78778290e+01 1.08558230e+02 1.18749320e-01 1.60905270e-01 5.12835060e-01 2.73299400e-01 6.50250430e-01 2.01451700e+00 2.11493550e-09 3.06632320e-01 1.42270480e-01 6.93289820e-01 2.45325610e-01 2.46655340e-01 2.61815860e+00 7.96915370e+00 8.31143730e-01 1.00705210e+00 4.60240780e-01 6.18487060e-01 2.11493550e+00 1.88806360e+00 1.37423540e+01 1.46968670e+02 1.00109016e+02 8.40280850e-01 1.75509230e+01 2.78352190e+03 1.63383380e+03 2.37375630e+01 1.94130320e+01 4.32453090e+00 4.43490660e+03 2.51269680e+01 3.96797830e+02 2.35191580e+03 9.68121300e+00 1.75509230e+01 1.63383380e+03
3 2.24239030e+03 3.05382620e+00 9.60459900e-01 6.53148610e-04 6.81794090e+01 2.22183790e-02 1.19376390e-01 5.79080410e-02 9.99373830e-01 9.99879230e-01 9.98391390e-01 5.00173320e+01 7.34826140e-01 4.87732170e+00 5.95421560e+00 1.14309230e+01 1.12817880e+01 1.90703640e+01 9.10972140e+01 2.53350270e+02 4.69241730e+01 3.91222480e+01 1.04212040e+02 1.34296560e-01 1.76541830e-01 4.82208960e-01 3.14586140e-01 5.95343030e-01 1.98447150e+00 2.11962910e-09 3.05994870e-01 1.42239630e-01 6.93927410e-01 2.45333710e-01 2.46663470e-01 2.61439500e+00 8.08195640e+00 8.32163630e-01 1.00781800e+00 4.60326320e-01 6.18923920e-01 2.11962910e+00 1.88782440e+00 1.37374780e+01 1.46954510e+02 1.00192716e+02 8.40437030e-01 1.67825660e+01 2.78539970e+03 1.63396960e+03 2.43143450e+01 2.12895730e+01 3.02477140e+00 4.43615190e+03 2.51475790e+01 3.97122760e+02 2.35338030e+03 9.74911480e+00 1.67825660e+01 1.63396960e+03
9 2.24385160e+03 3.05415320e+00 9.60249040e-01 6.53740140e-04 6.81275680e+01 2.22107960e-02 1.19472960e-01 5.79936980e-02 9.99056980e-01 9.99704500e-01 9.98349030e-01 5.14672010e+01 5.72896330e-01 9.93804470e+00 2.52804950e-01 6.15678760e+00 1.04961500e+01 1.90435140e+01 9.20367660e+01 2.12807290e+02 4.76493960e+01 5.81913040e+01 1.14813270e+02 1.28242730e-01 1.56750580e-01 5.30621420e-01 2.28723740e-01 6.25214020e-01 2.36197010e+00 2.12032230e-09 3.06652470e-01 1.42328620e-01 6.93269700e-01 2.45330580e-01 2.46660330e-01 2.61584760e+00 8.09391730e+00 8.32583640e-01 1.00871020e+00 4.61053270e-01 6.19568730e-01 2.12032230e+00 1.88811830e+00 1.37396500e+01 1.46936740e+02 1.00104427e+02 8.41764250e-01 1.76059580e+01 2.78774560e+03 1.63382890e+03 2.42614400e+01 1.97843660e+01 4.47707360e+00 4.43918040e+03 2.52564080e+01 3.97164660e+02 2.35536560e+03 9.95886800e+00 1.76059580e+01 1.63382890e+03
6 2.24407440e+03 3.05338900e+00 9.60134100e-01 6.52297590e-04 6.81571830e+01 2.22020330e-02 1.19512310e-01 5.75707330e-02 9.99257700e-01 9.99568440e-01 9.97987620e-01 5.44291970e+01 5.44158160e-01 9.37406850e+00 2.70457510e-01 6.09061620e+00 1.05612500e+01 1.71037560e+01 8.62513330e+01 2.25738460e+02 4.99565460e+01 5.89891180e+01 1.14400310e+02 1.12221120e-01 1.39215220e-01 5.14190150e-01 2.30041120e-01 6.51561300e-01 2.44846590e+00 2.11870250e-09 3.06451880e-01 1.42359210e-01 6.93470350e-01 2.45326970e-01 2.46656700e-01 2.61752600e+00 8.05443380e+00 8.32506080e-01 1.00839710e+00 4.60859520e-01 6.19409680e-01 2.11870250e+00 1.88827250e+00 1.37362180e+01 1.46937050e+02 1.00148154e+02 8.41410510e-01 1.70612130e+01 2.79001690e+03 1.63387150e+03 2.35996180e+01 1.97331230e+01 3.86649430e+00 4.44094960e+03 2.52407170e+01 3.97047630e+02 2.35789290e+03 9.83568450e+00 1.70612130e+01 1.63387150e+03
13 2.24264450e+03 3.04391420e+00 9.61752070e-01 6.32926900e-04 6.81096230e+01 2.22673490e-02 1.18688740e-01 5.33070530e-02 9.99585220e-01 9.99544060e-01 9.98050380e-01 5.65247250e+01 6.21494220e-01 8.81018000e+00 1.05954630e+00 6.27961170e+00 9.63000980e+00 1.53428340e+01 7.92884690e+01 2.22040550e+02 4.82693800e+01 5.67440460e+01 1.13789700e+02 1.09015680e-01 1.48740690e-01 4.72753070e-01 2.42097330e-01 6.43481740e-01 2.37427720e+00 2.09872310e-09 3.05245480e-01 1.41600960e-01 6.94676650e-01 2.45353880e-01 2.46683720e-01 2.60502390e+00 7.59017010e+00 8.24333000e-01 9.98845800e-01 4.55435940e-01 6.12724140e-01 2.09872310e+00 1.88648450e+00 1.37612330e+01 1.47098580e+02 1.00188288e+02 8.31508470e-01 1.76971850e+01 2.78581360e+03 1.63413680e+03 2.38207830e+01 2.00260960e+01 3.79468760e+00 4.43764750e+03 2.45696450e+01 3.95944340e+02 2.35626360e+03 9.03600240e+00 1.76971850e+01 1.63413680e+03
1 2.24244580e+03 3.04634070e+00 9.62542970e-01 6.03423510e-04 6.85052130e+01 2.21892000e-02 1.18330870e-01 5.52128900e-02 9.99931160e-01 9.98714330e-01 9.98574850e-01 5.09406970e+01 8.62043680e-01 6.52133840e+00 4.01637710e+00 8.70894150e+00 1.22496640e+01 1.93494690e+01 9.23287120e+01 2.45551940e+02 4.44059950e+01 5.34838120e+01 1.11543350e+02 1.05421290e-01 1.51515490e-01 3.52317790e-01 2.85162720e-01 7.69879970e-01 2.20592590e+00 2.10382190e-09 3.00801220e-01 1.41164940e-01 6.99121800e-01 2.45321680e-01 2.46651390e-01 2.61998420e+00 7.79843110e+00 8.24781220e-01 9.96499190e-01 4.52354130e-01 6.10813550e-01 2.10382190e+00 1.88387320e+00 1.37384020e+01 1.47303370e+02 1.00910487e+02 8.25881870e-01 1.18989560e+01 2.78603000e+03 1.63523290e+03 2.58648890e+01 2.24858030e+01 3.37908600e+00 4.43316190e+03 2.43967150e+01 3.96279570e+02 2.35643750e+03 8.91618320e+00 1.18989560e+01 1.63523290e+03
6 2.24302660e+03 3.04748620e+00 9.62560630e-01 6.03978760e-04 6.83821270e+01 2.21985830e-02 1.18340450e-01 5.57804110e-02 9.99696210e-01 9.98696950e-01 9.97937190e-01 4.40865180e+01 6.78054790e-01 6.07877540e+00 7.18416830e+00 5.84241850e+00 1.17661150e+01 1.78645840e+01 9.18287250e+01 2.35756520e+02 3.41559040e+01 4.01505720e+01 1.14433280e+02 7.51669960e-02 1.46733380e-01 2.89356040e-01 2.76028900e-01 6.63450260e-01 2.24360310e+00 2.10623310e-09 3.01925630e-01 1.41183900e-01 6.97997120e-01 2.45325550e-01 2.46655280e-01 2.61818690e+00 7.85330110e+00 8.24918450e-01 9.97561570e-01 4.53274200e-01 6.11485280e-01 2.10623310e+00 1.88389280e+00 1.37487650e+01 1.47289920e+02 1.00719980e+02 8.27561680e-01 1.30420360e+01 2.77921030e+03 1.63493800e+03 2.94314100e+01 2.43632370e+01 5.06817290e+00 4.42719030e+03 2.44276370e+01 3.96435950e+02 2.34943910e+03 8.90766170e+00 1.30420360e+01 1.63493800e+03
7 2.23866630e+03 3.04413910e+00 9.70676560e-01 6.03978760e-04 6.83821270e+01 2.21985830e-02 1.18340450e-01 5.57804110e-02 9.99780690e-01 9.99110440e-01 9.97201350e-01 4.85165180e+01 3.29305390e-01 6.45298310e+00 3.82445110e+00 1.00901560e+01 1.28340000e+01 1.77856840e+01 9.03261620e+01 2.48525080e+02 3.70825160e+01 3.71268390e+01 1.10705280e+02 8.97386210e-02 1.53162960e-01 4.42960740e-01 2.46012930e-01 6.83663990e-01 2.40088490e+00 2.09919520e-09 3.01925630e-01 1.41183900e-01 6.97997120e-01 2.45325550e-01 2.46655280e-01 2.61818690e+00 7.85330110e+00 8.26110700e-01 9.99003350e-01 4.53929320e-01 6.12369060e-01 2.09919520e+00 1.87759780e+00 1.37487650e+01 1.47289920e+02 1.00719980e+02 8.28757760e-01 1.30420360e+01 2.77956910e+03 1.63493800e+03 2.48917290e+01 2.16733290e+01 3.21839990e+00 4.42754910e+03 2.23867660e+01 3.96278440e+02 2.35160830e+03 9.29563480e+00 1.30420360e+01 1.63493800e+03
