# weight minuslogpost logA ns wdm H0 ombh2 omch2 tau A_planck calib_100T calib_217T A_cib_217 xi_sz_cib A_sz ksz_norm gal545_A_100 gal545_A_143 gal545_A_143_217 gal545_A_217 ps_A_100_100 ps_A_143_143 ps_A_143_217 ps_A_217_217 galf_TE_A_100 galf_TE_A_100_143 galf_TE_A_100_217 galf_TE_A_143 galf_TE_A_143_217 galf_TE_A_217 As omegam omegamh2 omega_de YHe Y_p DHBBN zrei sigma8 s8h5 s8omegamp5 s8omegamp25 A clamp age rdrag hrd S8 chi2__BAO chi2__CMB chi2__SN minuslogprior minuslogprior__0 minuslogprior__SZ chi2 chi2__planck_2018_lowl.TT chi2__planck_2018_lowl.EE chi2__planck_2018_highl_plik.TTTEEE chi2__planck_2018_lensing.clik chi2__bao.desi_dr2 chi2__sn.desdovekie
5 2.49031040e+03 3.10292530e+00 9.66219440e-01 6.12849300e-04 6.78626870e+01 2.22886370e-02 1.20684230e-01 8.43992600e-02 9.97482720e-01 1.00027280e+00 9.96988130e-01 4.00380660e+01 7.94877940e-01 8.24365310e+00 6.02227030e+00 3.66683770e-02 4.89812150e+00 1.77198980e+01 7.92544310e+01 2.61083280e+02 2.64030110e+01 5.77931150e+01 1.21690060e+02 1.27732530e-02 9.27571220e-02 5.10511620e-01 2.67322310e-01 5.79579850e-01 1.45821450e+00 2.22629820e-09 3.11850140e-01 1.43617730e-01 6.88071410e-01 2.45362610e-01 2.46692480e-01 2.60096200e+00 1.05839250e+01 8.58088420e-01 1.04163730e+00 4.79186990e-01 6.41236940e-01 2.22629820e+00 1.88050750e+00 1.37288060e+01 1.46559470e+02 9.94591944e+01 8.74871740e-01 2.46878450e+01 3.23081560e+03 1.63286470e+03 4.61262800e+01 3.88684410e+01 7.25783880e+00 4.88836810e+03 2.47900900e+01 4.12750580e+02 2.77489470e+03 1.83802400e+01 2.46878450e+01 1.63286470e+03
2 2.44526220e+03 3.11209990e+00 9.64582100e-01 6.12849300e-04 6.78626870e+01 2.22886370e-02 1.20684230e-01 8.43992600e-02 1.00219500e+00 9.99865850e-01 9.96929100e-01 3.30587290e+01 3.04052410e-02 4.43104190e+00 6.49540530e+00 2.10154240e+00 8.06618320e+00 1.80620330e+01 9.30966210e+01 3.57982070e+02 2.05260310e+01 3.63203110e+01 1.24397450e+02 3.24168230e-02 1.00214490e-01 5.65735030e-01 3.42804290e-01 5.84870450e-01 1.07850940e+00 2.24681750e-09 3.11850140e-01 1.43617730e-01 6.88071410e-01 2.45362610e-01 2.46692480e-01 2.60096200e+00 1.05839250e+01 8.61492960e-01 1.04577010e+00 4.81088200e-01 6.43781100e-01 2.24681750e+00 1.89783970e+00 1.37288060e+01 1.46559470e+02 9.94591944e+01 8.78342870e-01 2.46878450e+01 3.16106770e+03 1.63286470e+03 3.59521170e+01 3.30074650e+01 2.94465170e+00 4.81862020e+03 2.52070800e+01 4.12911040e+02 2.70261560e+03 2.03339480e+01 2.46878450e+01 1.63286470e+03
1 2.39561860e+03 3.10585880e+00 9.66898920e-01 6.76836980e-04 6.81982820e+01 2.20899380e-02 1.19483930e-01 8.30168550e-02 1.00249780e+00 1.00025240e+00 9.96958410e-01 2.86491230e+01 1.69599940e-02 2.03822660e+00 6.85803950e+00 5.01618330e+00 9.13740730e+00 1.48955170e+01 9.10644190e+01 3.75194410e+02 2.70834000e+01 3.90800680e+01 1.36510640e+02 1.57470210e-01 1.40728080e-01 4.86230610e-01 3.03517400e-01 6.08518670e-01 1.21509270e+00 2.23283870e-09 3.05780620e-01 1.42218740e-01 6.94141710e-01 2.45280100e-01 2.46609660e-01 2.63900590e+00 1.04949890e+01 8.58303050e-01 1.03933110e+00 4.74619560e-01 6.38253410e-01 2.23283870e+00 1.89125390e+00 1.37360940e+01 1.47051210e+02 1.00286399e+02 8.66532800e-01 1.55093530e+01 3.08948080e+03 1.63401410e+03 2.61164420e+01 2.40775910e+01 2.03885140e+00 4.73900430e+03 2.43341300e+01 4.11461860e+02 2.63811450e+03 1.55703420e+01 1.55093530e+01 1.63401410e+03
22 2.37356220e+03 3.10738470e+00 9.67343080e-01 6.90770670e-04 6.79231150e+01 2.21310790e-02 1.19317160e-01 8.38933550e-02 1.00250010e+00 1.00080810e+00 9.96836990e-01 2.51484610e+01 3.21308780e-02 1.65007220e+00 5.96843270e+00 4.02510220e+00 7.90062470e+00 1.31353660e+01 9.01146480e+01 3.59095840e+02 4.10694980e+01 4.68139670e+01 1.46701180e+02 1.94307600e-01 1.12086000e-01 5.93866000e-01 2.61325890e-01 5.30594920e-01 1.19963930e+00 2.23624830e-09 3.07990860e-01 1.42093110e-01 6.91930830e-01 2.45297550e-01 2.46627180e-01 2.63111840e+00 1.05552570e+01 8.57643060e-01 1.04063350e+00 4.75965520e-01 6.38911990e-01 2.23624830e+00 1.89082440e+00 1.37637360e+01 1.47039570e+02 9.98738562e+01 8.68990170e-01 2.04644740e+01 3.03026920e+03 1.63355230e+03 3.14192190e+01 2.93575190e+01 2.06170010e+00 4.68428600e+03 2.42020170e+01 4.12125040e+02 2.57704820e+03 1.68939970e+01 2.04644740e+01 1.63355230e+03
4 2.36268250e+03 3.10322120e+00 9.68637940e-01 7.25527280e-04 6.84402850e+01 2.21805430e-02 1.18698860e-01 8.22490450e-02 1.00367210e+00 1.00061570e+00 9.96027980e-01 2.44369590e+01 5.76993410e-02 7.14237590e-01 7.85870640e+00 2.87876740e+00 6.10945070e+00 9.92753260e+00 8.65650050e+01 3.50462730e+02 4.22307540e+01 4.52038180e+01 1.46641970e+02 1.82412440e-01 1.26718810e-01 7.06072260e-01 2.46093220e-01 6.01576530e-01 1.47683730e+00 2.22695710e-09 3.02139350e-01 1.41524270e-01 6.97783520e-01 2.45318110e-01 2.46647810e-01 2.62164230e+00 1.03809960e+01 8.55599560e-01 1.03422410e+00 4.70299150e-01 6.34340400e-01 2.22695710e+00 1.88917090e+00 1.37329730e+01 1.47124130e+02 1.00692174e+02 8.58644850e-01 1.31581340e+01 2.99966210e+03 1.63487060e+03 3.88370580e+01 3.68057000e+01 2.03135720e+00 4.64769090e+03 2.37283640e+01 4.10460510e+02 2.55222790e+03 1.32453160e+01 1.31581340e+01 1.63487060e+03
22 2.32148640e+03 3.10320430e+00 9.68590440e-01 7.25527280e-04 6.84402850e+01 2.21805430e-02 1.18698860e-01 8.22490450e-02 1.00366070e+00 1.00093160e+00 9.95861900e-01 3.29438050e+01 2.21766640e-02 3.97298910e-02 9.05126390e+00 8.18293050e+00 8.47133230e+00 1.06890450e+01 8.44403290e+01 3.24298970e+02 4.24981320e+01 3.99304260e+01 1.33693460e+02 1.39553540e-01 1.10401910e-01 7.18139620e-01 2.86363800e-01 6.96345760e-01 1.71398570e+00 2.22691940e-09 3.02139350e-01 1.41524270e-01 6.97783520e-01 2.45318110e-01 2.46647810e-01 2.62164230e+00 1.03809960e+01 8.55576640e-01 1.03419640e+00 4.70286560e-01 6.34323410e-01 2.22691940e+00 1.88913890e+00 1.37329730e+01 1.47124130e+02 1.00692174e+02 8.58621850e-01 1.31581340e+01 2.92822170e+03 1.63487060e+03 3.33611670e+01 3.13353740e+01 2.02579270e+00 4.57625040e+03 2.37399360e+01 4.10465210e+02 2.48077580e+03 1.32407430e+01 1.31581340e+01 1.63487060e+03
5 2.32061230e+03 3.10382590e+00 9.68615140e-01 7.24027230e-04 6.83614550e+01 2.21811950e-02 1.18695530e-01 8.25792050e-02 1.00364930e+00 1.00093150e+00 9.95861630e-01 3.29330260e+01 2.23562720e-02 4.28844310e-02 9.04552600e+00 8.18273140e+00 8.47201970e+00 1.06932450e+01 8.44496250e+01 3.24283150e+02 4.24901790e+01 3.99333570e+01 1.33695630e+02 1.39610360e-01 1.10393390e-01 7.18250250e-01 2.86244590e-01 6.96283980e-01 1.71379840e+00 2.22830400e-09 3.02830850e-01 1.41521590e-01 6.97091840e-01 2.45318370e-01 2.46648080e-01 2.62151730e+00 1.04098160e+01 8.55560200e-01 1.03477260e+00 4.70815370e-01 6.34673840e-01 2.22830400e+00 1.88906570e+00 1.37400290e+01 1.47125440e+02 1.00577091e+02 8.59587330e-01 1.40085550e+01 2.92580490e+03 1.63469740e+03 3.33568540e+01 3.13310310e+01 2.02582230e+00 4.57451080e+03 2.37313940e+01 4.10729680e+02 2.47780040e+03 1.35434230e+01 1.40085550e+01 1.63469740e+03
11 2.32003130e+03 3.08504550e+00 9.68461190e-01 8.26678170e-04 6.86838390e+01 2.25184020e-02 1.18663050e-01 7.17392620e-02 1.00405060e+00 1.00096630e+00 9.95830260e-01 3.14904780e+01 3.30230300e-02 1.97000390e-01 8.64445410e+00 8.11483410e+00 8.19714330e+00 1.02672190e+01 8.45056420e+01 3.20038760e+02 3.95642220e+01 3.86993520e+01 1.34416800e+02 1.37379420e-01 1.10623320e-01 7.19552220e-01 2.87083910e-01 6.91725580e-01 1.69334150e+00 2.18684620e-09 3.00640640e-01 1.41826310e-01 6.99282780e-01 2.45450900e-01 2.46781090e-01 2.55857400e+00 9.32837840e+00 8.48889480e-01 1.02429220e+00 4.65452110e-01 6.28583640e-01 2.18684620e+00 1.89455100e+00 1.37022040e+01 1.46684270e+02 1.00748388e+02 8.49795390e-01 1.36376090e+01 2.92292860e+03 1.63525160e+03 3.41223250e+01 3.20885540e+01 2.03377150e+00 4.57181790e+03 2.35235870e+01 4.03122590e+02 2.48489670e+03 1.13857210e+01 1.36376090e+01 1.63525160e+03
9 2.30913350e+03 3.08544020e+00 9.67596070e-01 8.26678170e-04 6.86838390e+01 2.25184020e-02 1.18663050e-01 7.17392620e-02 1.00416140e+00 1.00079630e+00 9.96293030e-01 2.82914840e+01 3.47536840e-02 2.62669860e+00 7.22925900e+00 7.42070180e+00 8.39323020e+00 1.59734260e+01 9.82845770e+01 2.86459920e+02 3.93825230e+01 4.00932990e+01 1.34329090e+02 1.50815610e-01 1.22689670e-01 6.77187820e-01 2.88330850e-01 6.47567500e-01 1.62912230e+00 2.18770960e-09 3.00640640e-01 1.41826310e-01 6.99282780e-01 2.45450900e-01 2.46781090e-01 2.55857400e+00 9.32837840e+00 8.48772680e-01 1.02415130e+00 4.65388060e-01 6.28497150e-01 2.18770960e+00 1.89529900e+00 1.37022040e+01 1.46684270e+02 1.00748388e+02 8.49678460e-01 1.36376090e+01 2.90918960e+03 1.63525160e+03 3.00940350e+01 2.78691210e+01 2.22491380e+00 4.55807880e+03 2.37368890e+01 4.03202180e+02 2.47084260e+03 1.14078990e+01 1.36376090e+01 1.63525160e+03
6 2.29609860e+03 3.08605300e+00 9.62723010e-01 8.26678170e-04 6.86838390e+01 2.25184020e-02 1.18663050e-01 7.17392620e-02 1.00285530e+00 1.00080180e+00 9.96601240e-01 2.78276600e+01 1.80574510e-02 2.51538630e+00 7.62243690e+00 7.90773000e+00 8.95091410e+00 1.69121390e+01 1.00182730e+02 2.78120070e+02 3.99310440e+01 3.98118950e+01 1.35821700e+02 1.47948730e-01 1.38954690e-01 7.00931730e-01 3.17478010e-01 6.45008840e-01 1.80461250e+00 2.18905060e-09 3.00640640e-01 1.41826310e-01 6.99282780e-01 2.45450900e-01 2.46781090e-01 2.55857400e+00 9.32837840e+00 8.47434760e-01 1.02253690e+00 4.64654470e-01 6.27506460e-01 2.18905060e+00 1.89646080e+00 1.37022040e+01 1.46684270e+02 1.00748388e+02 8.48339120e-01 1.36376090e+01 2.88555260e+03 1.63525160e+03 2.88776650e+01 2.66040120e+01 2.27365330e+00 4.53444180e+03 2.52497770e+01 4.03479250e+02 2.44484790e+03 1.19756110e+01 1.36376090e+01 1.63525160e+03
