# weight minuslogpost logA ns wdm H0 ombh2 omch2 tau A_planck calib_100T calib_217T A_cib_217 xi_sz_cib A_sz ksz_norm gal545_A_100 gal545_A_143 gal545_A_143_217 gal545_A_217 ps_A_100_100 ps_A_143_143 ps_A_143_217 ps_A_217_217 galf_TE_A_100 galf_TE_A_100_143 galf_TE_A_100_217 galf_TE_A_143 galf_TE_A_143_217 galf_TE_A_217 As omegam omegamh2 omega_de YHe Y_p DHBBN zrei sigma8 s8h5 s8omegamp5 s8omegamp25 A clamp age rdrag hrd S8 chi2__BAO chi2__CMB chi2__SN minuslogprior minuslogprior__0 minuslogprior__SZ chi2 chi2__planck_2018_lowl.TT chi2__planck_2018_lowl.EE chi2__planck_2018_highl_plik.TTTEEE chi2__planck_2018_lensing.clik chi2__bao.desi_dr2 chi2__sn.desdovekie
9 2.29253070e+03 3.01810340e+00 9.63840710e-01 3.85640250e-04 6.82582660e+01 2.25981450e-02 1.19938710e-01 3.99041380e-02 9.93780130e-01 9.99832570e-01 9.96645940e-01 4.30636710e+01 6.53441740e-01 6.68660570e+00 1.86626440e+00 3.05353280e+00 7.34437890e+00 8.37725320e+00 7.49291190e+01 2.02329750e+02 3.40294430e+01 5.28513250e+01 1.26454550e+02 5.81792240e-02 1.25200710e-01 7.12029980e-01 2.76662850e-01 7.59665230e-01 2.61458420e+00 2.04524640e-09 3.07310280e-01 1.43181730e-01 6.92612190e-01 2.45478810e-01 2.46809100e-01 2.54460580e+00 6.10647160e+00 8.11413810e-01 9.82120480e-01 4.49811890e-01 6.04138710e-01 2.04524640e+00 1.88836240e+00 1.37082090e+01 1.46582530e+02 1.00054693e+02 8.21240400e-01 1.79172270e+01 2.85455550e+03 1.63371510e+03 3.94368300e+01 3.68974340e+01 2.53939550e+00 4.50618780e+03 2.46149030e+01 3.97293350e+02 2.42362610e+03 9.02109580e+00 1.79172270e+01 1.63371510e+03
10 2.29268640e+03 3.01750140e+00 9.64322040e-01 3.75277140e-04 6.83724600e+01 2.25922090e-02 1.19711240e-01 3.98588250e-02 9.94279040e-01 9.99677400e-01 9.97093220e-01 5.70097000e+01 6.45364980e-01 7.01862130e+00 1.18716530e+00 2.35980000e+00 9.24850470e+00 1.04073560e+01 7.00008180e+01 1.73039250e+02 3.00059960e+01 4.60798740e+01 1.05207570e+02 8.41639590e-02 8.45297010e-02 4.89889940e-01 1.69133380e-01 8.24044900e-01 2.65950760e+00 2.04401570e-09 3.05785320e-01 1.42948320e-01 6.94137400e-01 2.45476730e-01 2.46807010e-01 2.54564050e+00 6.09993380e+00 8.10403090e-01 9.80077650e-01 4.48135560e-01 6.02636250e-01 2.04401570e+00 1.88739710e+00 1.37045390e+01 1.46656730e+02 1.00272814e+02 8.18179850e-01 1.58355990e+01 2.86706690e+03 1.63404060e+03 3.42148390e+01 3.17245850e+01 2.49025370e+00 4.51694320e+03 2.44129450e+01 3.97330750e+02 2.43639250e+03 8.93073380e+00 1.58355990e+01 1.63404060e+03
7 2.26853490e+03 3.02187620e+00 9.63348390e-01 3.75277140e-04 6.83724600e+01 2.25922090e-02 1.19711240e-01 3.98588250e-02 9.98078750e-01 1.00105560e+00 9.98315130e-01 5.37728040e+01 8.55809200e-01 3.92835070e+00 3.05503870e+00 4.16759780e+00 7.73642910e+00 1.35241700e+01 8.19105290e+01 2.42180350e+02 4.11157730e+01 4.43195620e+01 1.05927660e+02 9.05133450e-02 8.47274760e-02 5.97582750e-01 1.88897730e-01 7.75364620e-01 2.32750110e+00 2.05297730e-09 3.05785320e-01 1.42948320e-01 6.94137400e-01 2.45476730e-01 2.46807010e-01 2.54564050e+00 6.09993380e+00 8.11874210e-01 9.81856780e-01 4.48949060e-01 6.03730210e-01 2.05297730e+00 1.89567210e+00 1.37045390e+01 1.46656730e+02 1.00272814e+02 8.19665080e-01 1.58355990e+01 2.83148210e+03 1.63404060e+03 2.78557140e+01 2.58367480e+01 2.01896590e+00 4.48135840e+03 2.43770010e+01 3.97326530e+02 2.40085830e+03 8.92026890e+00 1.58355990e+01 1.63404060e+03
9 2.26039600e+03 3.01973400e+00 9.63167370e-01 3.80033420e-04 6.83166180e+01 2.25787630e-02 1.19761860e-01 3.87087440e-02 9.98110510e-01 1.00065430e+00 9.98139770e-01 5.45693280e+01 6.23800590e-01 5.27282340e+00 2.74233600e+00 5.57892340e+00 9.76726440e+00 1.45396680e+01 8.13824030e+01 2.56029260e+02 3.86137680e+01 4.20337820e+01 1.07618170e+02 1.06809990e-01 1.24675190e-01 4.40048460e-01 2.09282160e-01 7.12633420e-01 1.93711880e+00 2.04858420e-09 3.06365060e-01 1.42985490e-01 6.93557530e-01 2.45472030e-01 2.46802290e-01 2.54798610e+00 5.97335160e+00 8.11233610e-01 9.81482940e-01 4.49019870e-01 6.03539570e-01 2.04858420e+00 1.89597160e+00 1.37084030e+01 1.46654710e+02 1.00189538e+02 8.19794360e-01 1.65916060e+01 2.82609500e+03 1.63391420e+03 2.20956570e+01 1.99215200e+01 2.17413690e+00 4.47660080e+03 2.43714670e+01 3.97690870e+02 2.39509880e+03 8.93384950e+00 1.65916060e+01 1.63391420e+03
2 2.26006570e+03 3.01881900e+00 9.61221050e-01 3.80033420e-04 6.83166180e+01 2.25787630e-02 1.19761860e-01 3.87087440e-02 9.97542560e-01 9.99999070e-01 9.97711660e-01 3.48301110e+01 8.20961670e-01 5.42937910e+00 3.69754640e+00 5.48041950e+00 9.25709990e+00 1.68428300e+01 9.82286930e+01 2.49026980e+02 3.91891150e+01 4.86766310e+01 1.29973200e+02 1.69040700e-01 1.25649910e-01 4.55196460e-01 1.80576780e-01 6.55796760e-01 1.77342240e+00 2.04671050e-09 3.06365060e-01 1.42985490e-01 6.93557530e-01 2.45472030e-01 2.46802290e-01 2.54798610e+00 5.97335160e+00 8.10257880e-01 9.80302450e-01 4.48479800e-01 6.02813650e-01 2.04671050e+00 1.89423750e+00 1.37084030e+01 1.46654710e+02 1.00189538e+02 8.18808340e-01 1.65916060e+01 2.82394700e+03 1.63391420e+03 2.28392680e+01 2.03594600e+01 2.47980890e+00 4.47445280e+03 2.48806990e+01 3.97658670e+02 2.39253870e+03 8.86892870e+00 1.65916060e+01 1.63391420e+03
1 2.25203670e+03 3.01851360e+00 9.61251690e-01 3.78187680e-04 6.82711280e+01 2.25757800e-02 1.19743120e-01 3.85770030e-02 1.00048390e+00 1.00053360e+00 9.98033460e-01 3.01649610e+01 7.79923180e-01 4.10211960e+00 7.85830480e+00 7.11608980e+00 8.86614690e+00 1.76046680e+01 1.02858940e+02 2.60343260e+02 3.79793060e+01 3.95205610e+01 1.31370850e+02 1.19522860e-01 1.24591230e-01 4.40049350e-01 2.19855880e-01 6.11889200e-01 2.31059050e+00 2.04608560e-09 3.06726860e-01 1.42963760e-01 6.93195630e-01 2.45470990e-01 2.46801240e-01 2.54850690e+00 5.95841650e+00 8.09909090e-01 9.80206850e-01 4.48551360e-01 6.02731970e-01 2.04608560e+00 1.89415810e+00 1.37130160e+01 1.46664290e+02 1.00129365e+02 8.18939000e-01 1.72319640e+01 2.80798540e+03 1.63383730e+03 2.25093970e+01 1.91461190e+01 3.36327820e+00 4.45905460e+03 2.43462410e+01 3.97746150e+02 2.37662090e+03 9.27203400e+00 1.72319640e+01 1.63383730e+03
11 2.24817940e+03 3.02203400e+00 9.63783160e-01 3.78187680e-04 6.82711280e+01 2.25757800e-02 1.19743120e-01 3.85770030e-02 1.00261030e+00 1.00071190e+00 9.98105670e-01 3.98158550e+01 7.87701600e-01 3.20052780e+00 5.53931350e+00 9.19811630e+00 1.03000330e+01 1.78429380e+01 9.75512160e+01 2.74466990e+02 4.37794780e+01 3.79825600e+01 1.17015130e+02 1.26755120e-01 1.14907560e-01 5.44016940e-01 1.69847920e-01 6.84054760e-01 2.17623460e+00 2.05330140e-09 3.06726860e-01 1.42963760e-01 6.93195630e-01 2.45470990e-01 2.46801240e-01 2.54850690e+00 5.95841650e+00 8.12123080e-01 9.82886370e-01 4.49777540e-01 6.04379610e-01 2.05330140e+00 1.90083820e+00 1.37130160e+01 1.46664290e+02 1.00129365e+02 8.21177670e-01 1.72319640e+01 2.80277090e+03 1.63383730e+03 2.12593170e+01 1.91669900e+01 2.09232670e+00 4.45384010e+03 2.36928830e+01 3.97842090e+02 2.37196740e+03 9.26847440e+00 1.72319640e+01 1.63383730e+03
27 2.24584740e+03 3.03065540e+00 9.64741210e-01 3.79413540e-04 6.83539020e+01 2.27662830e-02 1.19487180e-01 4.28769250e-02 1.00250420e+00 9.99704220e-01 9.98046180e-01 5.16659930e+01 3.61920220e-01 7.08091480e+00 8.50616290e-01 1.12678020e+01 1.10431520e+01 2.09271440e+01 9.38921230e+01 2.35639480e+02 4.08435610e+01 3.69730940e+01 1.07525960e+02 1.29482020e-01 1.06396040e-01 5.83963240e-01 1.84012760e-01 6.83978660e-01 2.33417160e+00 2.07108020e-09 3.05844410e-01 1.42898330e-01 6.94078270e-01 2.45542020e-01 2.46872530e-01 2.51492840e+00 6.39737080e+00 8.13825640e-01 9.84350380e-01 4.50071630e-01 6.05210570e-01 2.07108020e+00 1.90087910e+00 1.37074750e+01 1.46521310e+02 1.00153033e+02 8.21714620e-01 1.77923260e+01 2.79408670e+03 1.63402730e+03 2.28942750e+01 2.04776790e+01 2.41659690e+00 4.44590630e+03 2.36900590e+01 3.96587640e+02 2.36495230e+03 8.85662610e+00 1.77923260e+01 1.63402730e+03
6 2.24826540e+03 3.01707130e+00 9.64320740e-01 3.79413540e-04 6.83539020e+01 2.27662830e-02 1.19487180e-01 4.28769250e-02 9.96313440e-01 9.99648830e-01 9.98041030e-01 5.01082970e+01 1.75643450e-01 5.70915270e+00 1.32240180e+00 7.90357320e+00 1.26901510e+01 1.97535410e+01 9.48111160e+01 2.63038140e+02 3.80384440e+01 3.29747030e+01 1.06091530e+02 1.37331480e-01 1.59752000e-01 5.20748580e-01 2.18712700e-01 5.32598990e-01 2.14388960e+00 2.04313660e-09 3.05844410e-01 1.42898330e-01 6.94078270e-01 2.45542020e-01 2.46872530e-01 2.51492840e+00 6.39737080e+00 8.08186450e-01 9.77529590e-01 4.46952980e-01 6.01016920e-01 2.04313660e+00 1.87523190e+00 1.37074750e+01 1.46521310e+02 1.00153033e+02 8.16020760e-01 1.77923260e+01 2.79740260e+03 1.63402730e+03 2.36542670e+01 2.15858310e+01 2.06843620e+00 4.44922220e+03 2.36905060e+01 3.96575530e+02 2.36768870e+03 9.44784640e+00 1.77923260e+01 1.63402730e+03
7 2.24741340e+03 3.01992550e+00 9.66717890e-01 3.79413540e-04 6.83539020e+01 2.27662830e-02 1.19487180e-01 4.28769250e-02 9.97795900e-01 9.99719300e-01 9.98055720e-01 5.09352290e+01 2.02158400e-01 4.88537360e+00 1.17707890e+00 8.21968090e+00 1.22379850e+01 1.80506310e+01 9.13525230e+01 2.71717310e+02 3.76319790e+01 3.08403400e+01 1.05532200e+02 1.05592570e-01 1.38384380e-01 5.32727440e-01 2.39754800e-01 5.36126500e-01 2.22125090e+00 2.04897660e-09 3.05844410e-01 1.42898330e-01 6.94078270e-01 2.45542020e-01 2.46872530e-01 2.51492840e+00 6.39737080e+00 8.10085600e-01 9.79826670e-01 4.48003270e-01 6.02429240e-01 2.04897660e+00 1.88059200e+00 1.37074750e+01 1.46521310e+02 1.00153033e+02 8.17938320e-01 1.77923260e+01 2.79757740e+03 1.63402730e+03 2.27149360e+01 2.06831430e+01 2.03179320e+00 4.44939700e+03 2.31613880e+01 3.96552590e+02 2.36849630e+03 9.36708580e+00 1.77923260e+01 1.63402730e+03
