# weight minuslogpost logA ns wdm H0 ombh2 omch2 tau As omegam omegamh2 omega_de YHe Y_p DHBBN zrei sigma8 s8h5 s8omegamp5 s8omegamp25 A clamp age rdrag hrd S8 chi2__BAO chi2__SN minuslogprior minuslogprior__0 chi2 chi2__bao.desi_dr2 chi2__sn.desdovekie
3 1.82394090e+03 3.56978540e+00 1.11857460e+00 -1.03982400e-01 7.90190760e+01 5.51197760e-02 1.62905940e-01 2.61613260e-01 3.55089730e-09 3.50208330e-01 2.18670590e-01 6.49733810e-01 2.50710830e-01 2.52060000e-01 9.40400000e-01 10 6.75110990e-02 7.59467520e-02 3.99519900e-02 5.19346000e-02 3.55089730e+00 2.10428090e+00 1.22985150e+01 1.47259650e+02 1.16363215e+02 7.29420200e-02 2.01301080e+03 1.63357460e+03 6.48161230e-01 6.48161230e-01 3.64658540e+03 2.01301080e+03 1.63357460e+03
2 1.55728820e+03 3.49246430e+00 1.09334130e+00 -1.18768480e-01 7.74490790e+01 5.77210190e-02 1.61301050e-01 1.75189300e-01 3.28668430e-09 3.66211670e-01 2.19666940e-01 6.33728100e-01 2.50710830e-01 2.52060000e-01 9.40400000e-01 10 5.76276100e-02 6.54820830e-02 3.48735940e-02 4.48294750e-02 3.28668430e+00 2.31521050e+00 1.24931550e+01 1.46475850e+02 1.13444197e+02 6.36701800e-02 1.48133620e+03 1.63194390e+03 6.48161230e-01 6.48161230e-01 3.11328010e+03 1.48133620e+03 1.63194390e+03
1 1.29130560e+03 3.16252550e+00 9.79650390e-01 -1.33245710e-01 7.96787990e+01 6.76860330e-02 1.68756970e-01 3.09709910e-01 2.36301990e-09 3.73442530e-01 2.37087870e-01 6.26500570e-01 2.50710830e-01 2.52060000e-01 9.40400000e-01 10 4.99422930e-02 5.59496130e-02 3.05197070e-02 3.90413140e-02 2.36301990e+00 1.27191120e+00 1.21455340e+01 1.38909060e+02 1.10681071e+02 5.57211070e-02 9.49679610e+02 1.63163530e+03 6.48161230e-01 6.48161230e-01 2.58131490e+03 9.49679610e+02 1.63163530e+03
2 1.11052480e+03 3.15716540e+00 9.78837040e-01 -1.46575700e-01 6.39613630e+01 4.25189140e-02 1.34355640e-01 1.69419620e-01 2.35038780e-09 4.33920790e-01 1.77519420e-01 5.65990900e-01 2.50710830e-01 2.52060000e-01 9.40400000e-01 10 3.94548670e-02 4.93334780e-02 2.59899720e-02 3.20223500e-02 2.35038780e+00 1.67487930e+00 1.47162290e+01 1.65215090e+02 1.05673823e+02 4.74509800e-02 5.86102660e+02 1.63365070e+03 6.48161230e-01 6.48161230e-01 2.21975340e+03 5.86102660e+02 1.63365070e+03
14 9.58200990e+02 2.40172370e+00 1.17406670e+00 -1.63494180e-01 5.21007670e+01 3.33001310e-02 9.05387230e-02 2.54600240e-01 1.10421940e-09 4.58589730e-01 1.24483720e-01 5.41277180e-01 2.49078990e-01 2.50422310e-01 1.31921000e+00 10 2.58210070e-02 3.57726500e-02 1.74857930e-02 2.12485480e-02 1.10421940e+00 6.63609200e-01 1.78582390e+01 1.79565330e+02 9.35549142e+01 3.19245440e-02 2.77228450e+02 1.63787720e+03 6.48161230e-01 6.48161230e-01 1.91510570e+03 2.77228450e+02 1.63787720e+03
3 9.36202000e+02 2.41102250e+00 1.17430500e+00 -1.53001910e-01 5.49889500e+01 3.93429580e-02 9.68468490e-02 2.78278430e-01 1.11453510e-09 4.52527850e-01 1.36834670e-01 5.47352680e-01 2.50594430e-01 2.51943180e-01 9.67416330e-01 10 2.92130630e-02 3.93948440e-02 1.96516830e-02 2.39600890e-02 1.11453510e+00 6.38828350e-01 1.68199050e+01 1.70293940e+02 9.36428495e+01 3.58789010e-02 2.32467120e+02 1.63864060e+03 6.48161230e-01 6.48161230e-01 1.87110770e+03 2.32467120e+02 1.63864060e+03
6 9.12157130e+02 2.62669660e+00 1.16169700e+00 -1.46770900e-01 5.65079910e+01 4.17578260e-02 9.89789010e-02 4.53752860e-01 1.38280150e-09 4.42764850e-01 1.41381590e-01 5.57122010e-01 2.50710830e-01 2.52060000e-01 9.40400000e-01 10 3.41416840e-02 4.54182080e-02 2.27180730e-02 2.78501930e-02 1.38280150e+00 5.58001180e-01 1.63917710e+01 1.66828870e+02 9.42716428e+01 4.14773380e-02 1.85839650e+02 1.63717830e+03 6.48161230e-01 6.48161230e-01 1.82301790e+03 1.85839650e+02 1.63717830e+03
1 8.25987120e+02 1.71147550e+00 9.33201370e-01 -1.28226860e-01 5.27105740e+01 2.73866530e-02 8.54814070e-02 3.21838880e-01 5.53712570e-10 4.08554340e-01 1.13512930e-01 5.91315630e-01 2.47291910e-01 2.48628780e-01 1.85373980e+00 10 1.92231480e-02 2.64774180e-02 1.22871010e-02 1.53686940e-02 5.53712570e-01 2.90896630e-01 1.79378110e+01 1.87875220e+02 9.90301069e+01 2.24330740e-02 1.90364730e+01 1.63164140e+03 6.48161230e-01 6.48161230e-01 1.65067790e+03 1.90364730e+01 1.63164140e+03
19 8.24593840e+02 3.13014550e+00 1.10822290e+00 -1.24558790e-01 5.92436490e+01 4.15241610e-02 1.04888920e-01 3.04146170e-01 2.28773090e-09 4.18991190e-01 1.47057950e-01 5.80905880e-01 2.50710830e-01 2.52060000e-01 9.40400000e-01 10 4.58779400e-02 5.96050430e-02 2.96965740e-02 3.69109420e-02 2.28773090e+00 1.24516510e+00 1.57133690e+01 1.65784900e+02 9.82170243e+01 5.42182780e-02 1.37721130e+01 1.63411920e+03 6.48161230e-01 6.48161230e-01 1.64789140e+03 1.37721130e+01 1.63411920e+03
1 8.24548930e+02 2.31018130e+00 1.16653440e+00 -1.24688990e-01 5.94402370e+01 4.18612320e-02 1.05506840e-01 3.00312640e-01 1.00762510e-09 4.18927240e-01 1.48012940e-01 5.80970500e-01 2.50710830e-01 2.52060000e-01 9.40400000e-01 10 3.01455770e-02 3.91005920e-02 1.95116010e-02 2.42525970e-02 1.00762510e+00 5.52650730e-01 1.56624500e+01 1.65351150e+02 9.82851154e+01 3.56231460e-02 1.37003810e+01 1.63410110e+03 6.48161230e-01 6.48161230e-01 1.64780150e+03 1.37003810e+01 1.63410110e+03
